"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1041","8yrs of NPP no modern market was built. #JMToaso https://t.co/2MqT9UV141",FALSE,2,NA,2016-12-02 14:20:40,FALSE,NA,"804691757434884096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kozi_dodzi",4,FALSE,FALSE,NA,NA
"1042","RT @OfficialNDCGh: A vote for JM is a vote for equal rights for women! #Vote4JM #JMToaso https://t.co/Qlhfk9C6Qw",FALSE,0,NA,2016-12-02 14:19:00,FALSE,NA,"804691340470652928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRealNingala",6,TRUE,FALSE,NA,NA
"1043","RT @GhanaAtWorkGH: #DearPrezMahama Thank you for building the 160-Bed Wa Regional Hospital. #JMToaso https://t.co/26NOQA3wSb",FALSE,0,NA,2016-12-02 14:18:07,FALSE,NA,"804691118210379776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shalomttheo",33,TRUE,FALSE,NA,NA
"1044","A vote for JM is a vote for equal rights for women! #Vote4JM #JMToaso https://t.co/Qlhfk9C6Qw",FALSE,3,NA,2016-12-02 14:15:31,FALSE,NA,"804690462053400576",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","OfficialNDCGh",6,FALSE,FALSE,NA,NA
"1045","It's a holiday and if you don't like trotro or can't afford taxi, just hop into one #Ayalolo busses near you.… https://t.co/MjF99Y440h",FALSE,0,NA,2016-12-02 14:15:12,TRUE,NA,"804690381652824066",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZimmAconcept",0,FALSE,FALSE,NA,NA
"1046","RT @mR_kwEsI_kInG: Jm has tared every road in my village Mim.  #jmtoaso #VoteforJMnumber3",FALSE,0,NA,2016-12-02 14:13:24,FALSE,NA,"804689929611735041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abamrenti1972",1,TRUE,FALSE,NA,NA
"1047","RT @GhanaAtWorkGH: #DearPrezMahama Thank you for building the 160-Bed Wa Regional Hospital. #JMToaso https://t.co/26NOQA3wSb",FALSE,0,NA,2016-12-02 14:13:00,FALSE,NA,"804689829745295360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OlivierPopeInc",33,TRUE,FALSE,NA,NA
"1048","RT @kozi_dodzi: In 8yrs not even one single hospital was built by the erstwhile @NPP administration. #JMToaso",FALSE,0,NA,2016-12-02 14:12:45,FALSE,NA,"804689765933137920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ian_okus",1,TRUE,FALSE,NA,NA
"1049","The ridge hospital has made SICKNESS very attractive.
#JMToaso",FALSE,1,NA,2016-12-02 14:12:22,FALSE,NA,"804689671443902464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jnuviadenu",0,FALSE,FALSE,NA,NA
"1050","RT @GhanaAtWorkGH: #DearPrezMahama Thank you for building the 160-Bed Wa Regional Hospital. #JMToaso https://t.co/26NOQA3wSb",FALSE,0,NA,2016-12-02 14:12:21,FALSE,NA,"804689666079342592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ian_okus",33,TRUE,FALSE,NA,NA
