"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"310","You can do Y3 wo Krom and all the stuffs Hon. Alex Agyekum is winning  the seat again.

#ChangeIsComing",FALSE,0,NA,2016-12-02 16:15:20,FALSE,NA,"804720616519700480",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","real_kwadwo1",0,FALSE,FALSE,NA,NA
"311","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:14:59,FALSE,NA,"804720529634693120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","purple_khandi",62,TRUE,FALSE,NA,NA
"312","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:14:08,FALSE,NA,"804720313875525634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamMr_Tee",62,TRUE,FALSE,NA,NA
"313","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:13:56,FALSE,NA,"804720262944059392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adwoa_nicoletta",62,TRUE,FALSE,NA,NA
"314","RT @badger3030: #ChangeIsComing.... https://t.co/A7b62u1fNn",FALSE,0,NA,2016-12-02 16:13:47,FALSE,NA,"804720224054480896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2Alpha",1,TRUE,FALSE,NA,NA
"315","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:08:50,FALSE,NA,"804718980208459780",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bossbenjee",62,TRUE,FALSE,NA,NA
"316","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:06:03,FALSE,NA,"804718277901582338",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Real_swimMA",62,TRUE,FALSE,NA,NA
"317","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:03:21,FALSE,NA,"804717600475402241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bra_Gerald",62,TRUE,FALSE,NA,NA
"318","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:01:17,FALSE,NA,"804717079022735360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Captain2ga",62,TRUE,FALSE,NA,NA
"319","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:00:46,FALSE,NA,"804716950941274113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Melo_Drama_gh",62,TRUE,FALSE,NA,NA
"320","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 16:00:45,FALSE,NA,"804716946365280256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Koo_The_Boy",62,TRUE,FALSE,NA,NA
"321","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 15:56:15,FALSE,NA,"804715813244719105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Otumfour_III",62,TRUE,FALSE,NA,NA
"322","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 15:56:09,FALSE,NA,"804715787672059904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","qwakup",62,TRUE,FALSE,NA,NA
"323","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 15:55:48,FALSE,NA,"804715702255022080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sean_nanaGH",62,TRUE,FALSE,NA,NA
"324","RT @Qwe_djo: Meanwhile NPP is the desperate one. #ChangeIsComing https://t.co/rypmXz0AWX",FALSE,0,NA,2016-12-02 15:55:35,FALSE,NA,"804715647645130752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","O_d_u_m",62,TRUE,FALSE,NA,NA
